Iteration,Reward Min,Reward Mean,Reward Max,Episode Length Mean
1.0,-81.34182118717564,-41.30911285626989,-7.482714991739911,12.142857142857142
2.0,-81.34182118717564,-9.619635401738371,305.10904581195825,12.533333333333333
3.0,-81.34182118717564,-22.470421712356615,305.10904581195825,11.958333333333334
4.0,-81.34182118717564,-25.19913849267583,305.10904581195825,11.969696969696969
5.0,-93.41185220669101,-20.485026214080573,311.48234066400823,11.571428571428571
6.0,-93.41185220669101,-13.10889788302687,366.0651848439668,11.72
7.0,-93.41185220669101,-16.600684571062832,366.0651848439668,11.844827586206897
8.0,-93.41185220669101,-12.99235245550758,366.0651848439668,11.757575757575758
9.0,-93.41185220669101,-13.759050302113994,366.0651848439668,11.906666666666666
10.0,-93.41185220669101,-8.907203750470769,366.0651848439668,11.951807228915662
11.0,-93.41185220669101,-7.23384550850187,366.0651848439668,11.989010989010989
12.0,-93.41185220669101,3.1192993997798397,431.4499445406733,12.0
13.0,-93.41185220669101,7.642771012785625,431.4499445406733,12.04
14.0,-93.41185220669101,7.806557114477394,431.4499445406733,11.81
15.0,-93.41185220669101,8.593091636319576,431.4499445406733,12.07
