Iteration,Reward Min,Reward Mean,Reward Max,Episode Length Mean
1.0,-73.56308558434826,19.028011635030648,513.7490799144614,13.757785467128027
2.0,-121.03230920411266,26.72221603923006,435.5341863993727,14.105263157894736
3.0,-120.27677663072605,63.63908421139482,515.1738702184048,14.081560283687944
4.0,-123.79219638107907,69.03109982721821,536.1443591266082,14.115789473684211
5.0,-110.42610268884074,136.1512263308986,488.24056671367157,14.285714285714286
6.0,-86.41612294675528,190.3717949646912,503.0434069443654,14.344086021505376
7.0,-101.19378413463264,209.32911830220664,486.62519583120263,14.006993006993007
8.0,-81.47006283376801,253.5346250292195,534.1683359067204,14.007017543859648
9.0,-71.7245295187951,266.7324300046055,644.2090222573399,13.88888888888889
10.0,-81.9002358546345,288.2310787426599,565.6313282929523,13.722602739726028
11.0,-44.13195297564043,300.5691255604656,625.1537748170036,13.805555555555555
12.0,-22.939932949630432,307.0573705853808,586.9780379768002,14.038461538461538
13.0,-36.11606694208999,321.76387712751233,651.0465901035955,14.958955223880597
14.0,38.52478572411759,341.42835102129385,729.2254970066064,15.852589641434262
15.0,97.56707027687804,376.44420722528474,695.3865971152136,17.66079295154185
