Iteration,Reward Min,Reward Mean,Reward Max,Episode Length Mean
1.0,-53.675137050381366,14.278308743335636,289.6309132758158,13.840277777777779
2.0,-48.997886183998396,34.223528775599,278.9008975293675,14.534545454545455
3.0,-47.81401489940257,42.41112152315953,306.336881187198,15.079245283018867
4.0,-51.2312478058917,56.32112232091514,277.32698594145705,16.036
5.0,-72.05600031705342,62.9728434066511,283.6753749854595,16.434426229508198
6.0,-57.24284737569487,80.08076608568929,273.5025657235235,17.37391304347826
7.0,-61.81628597723003,97.65231967876124,282.6887846469855,16.554166666666667
8.0,-52.94438499683464,123.79661310671908,297.2221309017509,16.790794979079497
9.0,-48.13984863335395,158.37597603347922,309.6243514122512,14.940298507462687
10.0,-45.10698652405995,171.6578251260562,301.08884336329993,14.035087719298245
11.0,-43.127412202207935,196.53913690008994,285.1691173328642,13.299003322259136
12.0,-33.721453694390185,207.46741822714085,327.7323065839022,12.440993788819876
13.0,-20.332545856383394,219.2333646441767,274.9267493013294,12.03012048192771
14.0,-36.31922606224158,213.83451325475306,312.3362646904435,11.907738095238095
15.0,-35.18121694213788,219.81459457444072,330.28930152256,11.66472303206997
